coche_id,marca,modelo,chasis,deleted
1,Rolls-Royce,Phantom,5N1AT2ML9EC889507,0
2,Toyota,4Runner,1FTEW1CF2FK991657,1
3,Ford,Expedition,1G6DH5EG1A0799935,0
4,Dodge,Caravan,WBAGK934X1D719081,1
5,Ford,Probe,WBSKG9C53BE017387,0
6,Nissan,JUKE,WBAKG1C53BE830962,1
7,Subaru,SVX,SCFEDCAD1CG965847,0
8,Toyota,RAV4,1C4RDJDG3CC540731,1
9,Hyundai,Elantra,5FRYD3H66EB185485,0
10,Dodge,D250,2G4GN5ECXB9105018,1
11,Pontiac,Grand Prix,1FTEW1E87AK416462,0
12,Infiniti,QX,1N6AF0KXXEN226194,1
13,Dodge,Ram 1500,JN1CV6EK7BM291820,0
14,Mazda,MX-5,WBXPC93567W319494,0
15,Audi,S4,JN1AZ4EH4EM247394,0
16,Lincoln,Continental,WBAUL7C5XCV536533,0
17,Mercedes-Benz,S-Class,WBAET37423N917470,0
18,Dodge,Ram Van 2500,WBAVB735X7V139837,1
19,Toyota,Corolla,WAUHGAFC4DN171829,0
20,Plymouth,Grand Voyager,WAUBH74F78N012599,1
21,Volkswagen,Jetta,YV4902BZ6B1016826,0
22,Lincoln,MKS,JTEBU5JR2E5604159,0
23,Subaru,Justy,5FNYF3H22FB866527,0
24,Chevrolet,G-Series 2500,1N6AF0KY8FN987591,1
25,Mitsubishi,Raider,JH4NA21603T356483,0
26,Chevrolet,S10,WAUJC58E25A639696,0
27,Maserati,Quattroporte,WAUKC68D81A571724,0
28,Audi,100,JTDJTUD34ED209586,0
29,Mercedes-Benz,C-Class,3N6CM0KN1EK886885,0
30,Volvo,S60,WDDLJ6HB1FA556166,0
31,Cadillac,CTS-V,WAUMV94E78N448776,0
32,Chevrolet,Camaro,1G4HA5EMXBU996777,0
33,Lincoln,Continental,1GYEC63877R207728,0
34,GMC,Safari,JN8AZ1MU1CW881908,0
35,Lincoln,Navigator,2G4GS5GX7E9075604,0
36,Lexus,RX Hybrid,WAUR2AFD5EN392143,0
37,BMW,7 Series,1G6KF57924U884680,0
38,Audi,S5,WBAWB73537P478254,1
39,Corbin,Sparrow,3GYFNGE38ES047603,0
40,Suzuki,Reno,WAULC68E13A663628,1
41,Mazda,MX-5,JTHFF2C28F2011616,0
42,Smart,Fortwo,1G6DM577780044789,1
43,Dodge,Ram 3500 Club,1FTEX1E83AK164593,0
44,Ford,Econoline E250,3VWML7AJ0DM791686,1
45,Chevrolet,Equinox,1G6DL8EV7A0870361,0
46,Ford,Windstar,4T1BF1FK5DU928743,0
47,BMW,3 Series,WAULT58E54A533007,0
48,Lexus,ES,1FADP3E26FL996636,1
49,Audi,S8,1G4HR54K64U152666,0
50,Volkswagen,Corrado,1D4PT6GX9AW104452,1
